test_id,test,ablation,model,county_id,weighted_mae,baseline_mae,delta_mae
A,2014_2018,A_previous_shares,lightgbm,21,0.017765112625975785,0.0128227044944627,0.004942408131513084
A,2014_2018,A_previous_shares,lightgbm,22,0.01941521715174906,0.014329307564465033,0.0050859095872840265
A,2014_2018,A_previous_shares,lightgbm,23,0.018922005545926993,0.013303269147549226,0.0056187363983777674
A,2014_2018,A_previous_shares,lightgbm,24,0.016759632364430656,0.015656378098337243,0.0011032542660934126
A,2014_2018,A_previous_shares,lightgbm,25,0.01998671295532359,0.014077037201450798,0.005909675753872794
A,2014_2018,A_previous_shares,ridge,01,0.022228186571308445,0.017502617474708018,0.004725569096600428
A,2014_2018,A_previous_shares,ridge,03,0.024476400894041527,0.01687479314052495,0.007601607753516579
A,2014_2018,A_previous_shares,ridge,04,0.020126155118762777,0.012571055742271652,0.007555099376491126
A,2014_2018,A_previous_shares,ridge,05,0.020094749292193227,0.013504032243188746,0.0065907170490044804
A,2014_2018,A_previous_shares,ridge,06,0.021769628106151087,0.013854566408752596,0.00791506169739849
A,2014_2018,A_previous_shares,ridge,07,0.02357320692765861,0.015151195317151984,0.008422011610506625
A,2014_2018,A_previous_shares,ridge,08,0.021736368306315895,0.013726688490448752,0.008009679815867143
A,2014_2018,A_previous_shares,ridge,09,0.018619388427712463,0.015163759271126665,0.003455629156585798
A,2014_2018,A_previous_shares,ridge,10,0.027042169653136813,0.012334346917730513,0.0147078227354063
A,2014_2018,A_previous_shares,ridge,12,0.028159228401560654,0.014275196006338775,0.013884032395221879
A,2014_2018,A_previous_shares,ridge,13,0.020911665133115653,0.013484349925191883,0.0074273152079237705
A,2014_2018,A_previous_shares,ridge,14,0.02199325092738437,0.013355199971251216,0.008638050956133153
A,2014_2018,A_previous_shares,ridge,17,0.02075075071374216,0.013828467340715514,0.006922283373026647
A,2014_2018,A_previous_shares,ridge,18,0.02124845009552471,0.01376644349177724,0.0074820066037474715
A,2014_2018,A_previous_shares,ridge,19,0.02271740032674686,0.01309646276871199,0.009620937558034871
A,2014_2018,A_previous_shares,ridge,20,0.023105062024025635,0.014335025502625222,0.008770036521400413
A,2014_2018,A_previous_shares,ridge,21,0.01972350984480663,0.0128227044944627,0.00690080535034393
A,2014_2018,A_previous_shares,ridge,22,0.01845998321945888,0.014329307564465033,0.004130675654993848
A,2014_2018,A_previous_shares,ridge,23,0.018622858311995692,0.013303269147549226,0.005319589164446466
A,2014_2018,A_previous_shares,ridge,24,0.01744996544443246,0.015656378098337243,0.0017935873460952177
A,2014_2018,A_previous_shares,ridge,25,0.01898598908961205,0.014077037201450798,0.004908951888161251
A,2014_2018,B_plus_structure,elastic_net,01,0.022043701964008976,0.017502617474708018,0.004541084489300958
A,2014_2018,B_plus_structure,elastic_net,03,0.024199779087100814,0.01687479314052495,0.0073249859465758654
A,2014_2018,B_plus_structure,elastic_net,04,0.01999004682543571,0.012571055742271652,0.007418991083164059
A,2014_2018,B_plus_structure,elastic_net,05,0.01980885152566812,0.013504032243188746,0.006304819282479373
A,2014_2018,B_plus_structure,elastic_net,06,0.02150180495120471,0.013854566408752596,0.007647238542452115
A,2014_2018,B_plus_structure,elastic_net,07,0.023323225440575586,0.015151195317151984,0.008172030123423601
A,2014_2018,B_plus_structure,elastic_net,08,0.021550740412686873,0.013726688490448752,0.007824051922238121
A,2014_2018,B_plus_structure,elastic_net,09,0.018029845962610508,0.015163759271126665,0.0028660866914838427
A,2014_2018,B_plus_structure,elastic_net,10,0.026906406385592437,0.012334346917730513,0.014572059467861925
A,2014_2018,B_plus_structure,elastic_net,12,0.02821467308218595,0.014275196006338775,0.013939477075847176
A,2014_2018,B_plus_structure,elastic_net,13,0.02084043421190786,0.013484349925191883,0.007356084286715978
A,2014_2018,B_plus_structure,elastic_net,14,0.02175982833082641,0.013355199971251216,0.008404628359575193
A,2014_2018,B_plus_structure,elastic_net,17,0.020514680958244227,0.013828467340715514,0.006686213617528714
A,2014_2018,B_plus_structure,elastic_net,18,0.020965703175302407,0.01376644349177724,0.0071992596835251665
A,2014_2018,B_plus_structure,elastic_net,19,0.022488392632816163,0.01309646276871199,0.009391929864104174
A,2014_2018,B_plus_structure,elastic_net,20,0.02292750573309316,0.014335025502625222,0.008592480230467938
A,2014_2018,B_plus_structure,elastic_net,21,0.019540357975777495,0.0128227044944627,0.006717653481314794
A,2014_2018,B_plus_structure,elastic_net,22,0.018501812341737086,0.014329307564465033,0.004172504777272053
A,2014_2018,B_plus_structure,elastic_net,23,0.018605707400070122,0.013303269147549226,0.005302438252520896
A,2014_2018,B_plus_structure,elastic_net,24,0.01725673653283148,0.015656378098337243,0.0016003584344942354
A,2014_2018,B_plus_structure,elastic_net,25,0.019357700176652053,0.014077037201450798,0.005280662975201255
A,2014_2018,B_plus_structure,lightgbm,01,0.020496833796776578,0.017502617474708018,0.0029942163220685603
A,2014_2018,B_plus_structure,lightgbm,03,0.021710420847416357,0.01687479314052495,0.004835627706891409
A,2014_2018,B_plus_structure,lightgbm,04,0.018288766162901603,0.012571055742271652,0.005717710420629952
A,2014_2018,B_plus_structure,lightgbm,05,0.017397222266403358,0.013504032243188746,0.003893190023214612
