test_id,test,ablation,model,party,weighted_mae,baseline_mae,delta_mae
B,2018_2022,A_previous_shares,lightgbm,S,0.02608336279781367,0.032124659196994566,-0.006041296399180895
B,2018_2022,A_previous_shares,lightgbm,SD,0.018017608497344625,0.018627705812195687,-0.0006100973148510623
B,2018_2022,A_previous_shares,lightgbm,V,0.01746604332200132,0.013029969861245504,0.004436073460755814
B,2018_2022,A_previous_shares,ridge,C,0.017348214912958022,0.012514718684443852,0.004833496228514171
B,2018_2022,A_previous_shares,ridge,KD,0.010533103098992646,0.011773950169547204,-0.0012408470705545585
B,2018_2022,A_previous_shares,ridge,L,0.007885735478485008,0.00835506604685411,-0.0004693305683691022
B,2018_2022,A_previous_shares,ridge,M,0.020252170187753906,0.01931022898290317,0.0009419412048507353
B,2018_2022,A_previous_shares,ridge,MP,0.009900932403692383,0.009116450650014915,0.0007844817536774677
B,2018_2022,A_previous_shares,ridge,OTHER,0.01963714099396524,0.007372434611320822,0.01226470638264442
B,2018_2022,A_previous_shares,ridge,S,0.026356420297262373,0.032124659196994566,-0.0057682388997321934
B,2018_2022,A_previous_shares,ridge,SD,0.01870980523446883,0.018627705812195687,0.00008209942227314221
B,2018_2022,A_previous_shares,ridge,V,0.01857082421528427,0.013029969861245504,0.005540854354038765
B,2018_2022,B_plus_structure,elastic_net,C,0.015197615532438712,0.012514718684443852,0.0026828968479948607
B,2018_2022,B_plus_structure,elastic_net,KD,0.010218418065643537,0.011773950169547204,-0.001555532103903667
B,2018_2022,B_plus_structure,elastic_net,L,0.007761491535809884,0.00835506604685411,-0.0005935745110442264
B,2018_2022,B_plus_structure,elastic_net,M,0.01930719085470034,0.01931022898290317,-3.0381282028306422e-6
B,2018_2022,B_plus_structure,elastic_net,MP,0.009772561930767254,0.009116450650014915,0.0006561112807523389
B,2018_2022,B_plus_structure,elastic_net,OTHER,0.019494793704160674,0.007372434611320822,0.012122359092839853
B,2018_2022,B_plus_structure,elastic_net,S,0.025682179570273175,0.032124659196994566,-0.006442479626721391
B,2018_2022,B_plus_structure,elastic_net,SD,0.018466387394887526,0.018627705812195687,-0.00016131841730816082
B,2018_2022,B_plus_structure,elastic_net,V,0.018102346982863494,0.013029969861245504,0.005072377121617989
B,2018_2022,B_plus_structure,lightgbm,C,0.014613673124551202,0.012514718684443852,0.00209895444010735
B,2018_2022,B_plus_structure,lightgbm,KD,0.009633087240438596,0.011773950169547204,-0.002140862929108608
B,2018_2022,B_plus_structure,lightgbm,L,0.008287881901746152,0.00835506604685411,-0.00006718414510795828
B,2018_2022,B_plus_structure,lightgbm,M,0.01875561840510423,0.01931022898290317,-0.0005546105777989412
B,2018_2022,B_plus_structure,lightgbm,MP,0.009738759647369918,0.009116450650014915,0.0006223089973550026
B,2018_2022,B_plus_structure,lightgbm,OTHER,0.016745599840302407,0.007372434611320822,0.009373165228981586
B,2018_2022,B_plus_structure,lightgbm,S,0.02567799079710932,0.032124659196994566,-0.006446668399885246
B,2018_2022,B_plus_structure,lightgbm,SD,0.0181314810400059,0.018627705812195687,-0.0004962247721897878
B,2018_2022,B_plus_structure,lightgbm,V,0.017451149411890726,0.013029969861245504,0.004421179550645221
B,2018_2022,B_plus_structure,ridge,C,0.017323346831513108,0.012514718684443852,0.004808628147069257
B,2018_2022,B_plus_structure,ridge,KD,0.009958853644933891,0.011773950169547204,-0.0018150965246133133
B,2018_2022,B_plus_structure,ridge,L,0.00780681686812432,0.00835506604685411,-0.0005482491787297903
B,2018_2022,B_plus_structure,ridge,M,0.02042152748225203,0.01931022898290317,0.0011112984993488575
B,2018_2022,B_plus_structure,ridge,MP,0.009908813443594316,0.009116450650014915,0.0007923627935794014
B,2018_2022,B_plus_structure,ridge,OTHER,0.0194904193613418,0.007372434611320822,0.012117984750020978
B,2018_2022,B_plus_structure,ridge,S,0.02548234251252394,0.032124659196994566,-0.006642316684470625
B,2018_2022,B_plus_structure,ridge,SD,0.019047441128754956,0.018627705812195687,0.0004197353165592693
B,2018_2022,B_plus_structure,ridge,V,0.019469331799069386,0.013029969861245504,0.006439361937823882
B,2018_2022,C_plus_turnout_size,elastic_net,C,0.015277157298785529,0.012514718684443852,0.0027624386143416772
B,2018_2022,C_plus_turnout_size,elastic_net,KD,0.010218503120659748,0.011773950169547204,-0.0015554470488874563
B,2018_2022,C_plus_turnout_size,elastic_net,L,0.007741070230033782,0.00835506604685411,-0.0006139958168203284
B,2018_2022,C_plus_turnout_size,elastic_net,M,0.019531070792042884,0.01931022898290317,0.00022084180913971296
B,2018_2022,C_plus_turnout_size,elastic_net,MP,0.009780898208262691,0.009116450650014915,0.0006644475582477764
B,2018_2022,C_plus_turnout_size,elastic_net,OTHER,0.020588262170117808,0.007372434611320822,0.013215827558796987
B,2018_2022,C_plus_turnout_size,elastic_net,S,0.026003746221641914,0.032124659196994566,-0.006120912975352652
B,2018_2022,C_plus_turnout_size,elastic_net,SD,0.018342435695160853,0.018627705812195687,-0.0002852701170348339
B,2018_2022,C_plus_turnout_size,elastic_net,V,0.01852148024954156,0.013029969861245504,0.0054915103882960566
