wave_id,previous_party,current_party,estimate,margin_error,row_base,cell_status
scb_2022M05,MP,C,0.037000000000,0.030000000000,184,PUBLISHED
scb_2022M05,MP,DONT_KNOW,0.074000000000,0.039000000000,184,PUBLISHED
scb_2022M05,MP,KD,0.000000000000,0.000000000000,184,PUBLISHED
scb_2022M05,MP,L,0.023000000000,0.023000000000,184,PUBLISHED
scb_2022M05,MP,M,0.044000000000,0.031000000000,184,PUBLISHED
scb_2022M05,MP,MP,0.371000000000,0.073000000000,184,PUBLISHED
scb_2022M05,MP,OTHER,,,184,SUPPRESSED
scb_2022M05,MP,S,0.322000000000,0.070000000000,184,PUBLISHED
scb_2022M05,MP,SD,,,184,SUPPRESSED
scb_2022M05,MP,V,0.069000000000,0.038000000000,184,PUBLISHED
scb_2022M05,OTHER,BLANK,0.000000000000,0.000000000000,51,PUBLISHED
scb_2022M05,OTHER,C,0.000000000000,0.000000000000,51,PUBLISHED
scb_2022M05,OTHER,DONT_KNOW,0.162000000000,0.100000000000,51,PUBLISHED
scb_2022M05,OTHER,KD,,,51,SUPPRESSED
scb_2022M05,OTHER,L,0.000000000000,0.000000000000,51,PUBLISHED
scb_2022M05,OTHER,M,,,51,SUPPRESSED
scb_2022M05,OTHER,MP,,,51,SUPPRESSED
scb_2022M05,OTHER,OTHER,0.365000000000,0.135000000000,51,PUBLISHED
scb_2022M05,OTHER,S,0.070000000000,0.067000000000,51,PUBLISHED
scb_2022M05,OTHER,SD,,,51,SUPPRESSED
scb_2022M05,OTHER,V,0.186000000000,0.113000000000,51,PUBLISHED
scb_2022M05,S,BLANK,0.033000000000,0.011000000000,1137,PUBLISHED
scb_2022M05,S,C,0.012000000000,0.006000000000,1137,PUBLISHED
scb_2022M05,S,DONT_KNOW,0.104000000000,0.020000000000,1137,PUBLISHED
scb_2022M05,S,KD,0.007000000000,0.006000000000,1137,PUBLISHED
scb_2022M05,S,L,0.004000000000,0.004000000000,1137,PUBLISHED
scb_2022M05,S,M,0.024000000000,0.010000000000,1137,PUBLISHED
scb_2022M05,S,MP,0.010000000000,0.006000000000,1137,PUBLISHED
scb_2022M05,S,OTHER,,,1137,SUPPRESSED
scb_2022M05,S,S,0.751000000000,0.027000000000,1137,PUBLISHED
scb_2022M05,S,SD,0.021000000000,0.009000000000,1137,PUBLISHED
scb_2022M05,S,V,0.030000000000,0.010000000000,1137,PUBLISHED
scb_2022M05,SD,BLANK,0.021000000000,0.013000000000,490,PUBLISHED
scb_2022M05,SD,C,0.000000000000,0.000000000000,490,PUBLISHED
scb_2022M05,SD,DONT_KNOW,0.057000000000,0.022000000000,490,PUBLISHED
scb_2022M05,SD,KD,0.032000000000,0.016000000000,490,PUBLISHED
scb_2022M05,SD,L,0.000000000000,0.000000000000,490,PUBLISHED
scb_2022M05,SD,M,0.083000000000,0.025000000000,490,PUBLISHED
scb_2022M05,SD,MP,,,490,SUPPRESSED
scb_2022M05,SD,OTHER,0.020000000000,0.012000000000,490,PUBLISHED
scb_2022M05,SD,S,0.034000000000,0.017000000000,490,PUBLISHED
scb_2022M05,SD,SD,0.745000000000,0.039000000000,490,PUBLISHED
scb_2022M05,SD,V,,,490,SUPPRESSED
scb_2022M05,V,BLANK,0.042000000000,0.024000000000,318,PUBLISHED
scb_2022M05,V,C,0.000000000000,0.000000000000,318,PUBLISHED
scb_2022M05,V,DONT_KNOW,0.055000000000,0.028000000000,318,PUBLISHED
scb_2022M05,V,KD,,,318,SUPPRESSED
scb_2022M05,V,L,0.000000000000,0.000000000000,318,PUBLISHED
scb_2022M05,V,M,,,318,SUPPRESSED
scb_2022M05,V,MP,0.022000000000,0.016000000000,318,PUBLISHED
scb_2022M05,V,OTHER,,,318,SUPPRESSED
scb_2022M05,V,S,0.189000000000,0.045000000000,318,PUBLISHED
scb_2022M05,V,SD,0.016000000000,0.016000000000,318,PUBLISHED
scb_2022M05,V,V,0.653000000000,0.055000000000,318,PUBLISHED
