wave_id,matrix_stage,previous_party,current_party,probability
scb_2018M05_original,CALIBRATED_0,V,KD,0.004161791020
scb_2018M05_original,CALIBRATED_0,V,SD,0.035314855580
scb_2018M05_original,CALIBRATED_0,V,OTHER,0.035895004286
scb_2018M05_original,CALIBRATED_0,S,V,0.033945853509
scb_2018M05_original,CALIBRATED_0,S,S,0.783704638318
scb_2018M05_original,CALIBRATED_0,S,MP,0.017822180054
scb_2018M05_original,CALIBRATED_0,S,C,0.017403687588
scb_2018M05_original,CALIBRATED_0,S,L,0.011099363380
scb_2018M05_original,CALIBRATED_0,S,M,0.042862119945
scb_2018M05_original,CALIBRATED_0,S,KD,0.003153475997
scb_2018M05_original,CALIBRATED_0,S,SD,0.080606767026
scb_2018M05_original,CALIBRATED_0,S,OTHER,0.009401914184
scb_2018M05_original,CALIBRATED_0,MP,V,0.090225571647
scb_2018M05_original,CALIBRATED_0,MP,S,0.204957286211
scb_2018M05_original,CALIBRATED_0,MP,MP,0.426111039628
scb_2018M05_original,CALIBRATED_0,MP,C,0.107796999603
scb_2018M05_original,CALIBRATED_0,MP,L,0.033006842452
scb_2018M05_original,CALIBRATED_0,MP,M,0.061181595019
scb_2018M05_original,CALIBRATED_0,MP,KD,0.006751930082
scb_2018M05_original,CALIBRATED_0,MP,SD,0.029707723533
scb_2018M05_original,CALIBRATED_0,MP,OTHER,0.040261011825
scb_2018M05_original,CALIBRATED_0,C,V,0.011627810275
scb_2018M05_original,CALIBRATED_0,C,S,0.046518775025
scb_2018M05_original,CALIBRATED_0,C,MP,0.005901314693
scb_2018M05_original,CALIBRATED_0,C,C,0.692763992521
scb_2018M05_original,CALIBRATED_0,C,L,0.036752426471
scb_2018M05_original,CALIBRATED_0,C,M,0.124894774124
scb_2018M05_original,CALIBRATED_0,C,KD,0.010441850648
scb_2018M05_original,CALIBRATED_0,C,SD,0.057756856287
scb_2018M05_original,CALIBRATED_0,C,OTHER,0.013342199955
scb_2018M05_original,CALIBRATED_0,L,V,0.000000000001
scb_2018M05_original,CALIBRATED_0,L,S,0.058344190132
scb_2018M05_original,CALIBRATED_0,L,MP,0.011291989847
scb_2018M05_original,CALIBRATED_0,L,C,0.109368213976
scb_2018M05_original,CALIBRATED_0,L,L,0.515714269290
scb_2018M05_original,CALIBRATED_0,L,M,0.218808587856
scb_2018M05_original,CALIBRATED_0,L,KD,0.028543100173
scb_2018M05_original,CALIBRATED_0,L,SD,0.025834914643
scb_2018M05_original,CALIBRATED_0,L,OTHER,0.032094734081
scb_2018M05_original,CALIBRATED_0,M,V,0.004556074232
scb_2018M05_original,CALIBRATED_0,M,S,0.022784061140
scb_2018M05_original,CALIBRATED_0,M,MP,0.005780716053
scb_2018M05_original,CALIBRATED_0,M,C,0.065320434978
scb_2018M05_original,CALIBRATED_0,M,L,0.027601040971
scb_2018M05_original,CALIBRATED_0,M,M,0.739615646624
scb_2018M05_original,CALIBRATED_0,M,KD,0.008182769678
scb_2018M05_original,CALIBRATED_0,M,SD,0.117010578203
scb_2018M05_original,CALIBRATED_0,M,OTHER,0.009148678122
scb_2018M05_original,CALIBRATED_0,KD,V,0.000000000001
scb_2018M05_original,CALIBRATED_0,KD,S,0.016425050776
scb_2018M05_original,CALIBRATED_0,KD,MP,0.019321227396
scb_2018M05_original,CALIBRATED_0,KD,C,0.144201874417
scb_2018M05_original,CALIBRATED_0,KD,L,0.029413867126
scb_2018M05_original,CALIBRATED_0,KD,M,0.176575778150
scb_2018M05_original,CALIBRATED_0,KD,KD,0.487737254046
scb_2018M05_original,CALIBRATED_0,KD,SD,0.110307813941
scb_2018M05_original,CALIBRATED_0,KD,OTHER,0.016017134146
scb_2018M05_original,CALIBRATED_0,SD,V,0.007786106726
scb_2018M05_original,CALIBRATED_0,SD,S,0.006544006660
scb_2018M05_original,CALIBRATED_0,SD,MP,0.000000000001
scb_2018M05_original,CALIBRATED_0,SD,C,0.002362527194
scb_2018M05_original,CALIBRATED_0,SD,L,0.002343792357
scb_2018M05_original,CALIBRATED_0,SD,M,0.051590479783
scb_2018M05_original,CALIBRATED_0,SD,KD,0.004994268153
scb_2018M05_original,CALIBRATED_0,SD,SD,0.911615847009
scb_2018M05_original,CALIBRATED_0,SD,OTHER,0.012762972115
scb_2018M05_original,CALIBRATED_0,OTHER,V,0.288697231419
scb_2018M05_original,CALIBRATED_0,OTHER,S,0.157193962564
scb_2018M05_original,CALIBRATED_0,OTHER,MP,0.079005254095
scb_2018M05_original,CALIBRATED_0,OTHER,C,0.057712273644
scb_2018M05_original,CALIBRATED_0,OTHER,L,0.000000000001
scb_2018M05_original,CALIBRATED_0,OTHER,M,0.027637330498
scb_2018M05_original,CALIBRATED_0,OTHER,KD,0.007116722285
scb_2018M05_original,CALIBRATED_0,OTHER,SD,0.035786020218
scb_2018M05_original,CALIBRATED_0,OTHER,OTHER,0.346851205276
scb_2018M05_original,CALIBRATED_1000,V,V,0.241648575342
scb_2018M05_original,CALIBRATED_1000,V,S,0.209193810642
scb_2018M05_original,CALIBRATED_1000,V,MP,0.045014466523
scb_2018M05_original,CALIBRATED_1000,V,C,0.079989559753
scb_2018M05_original,CALIBRATED_1000,V,L,0.037733889287
scb_2018M05_original,CALIBRATED_1000,V,M,0.166247131126
scb_2018M05_original,CALIBRATED_1000,V,KD,0.028334102608
