model,grouping,party,weighted_mae,unweighted_mae
ridge,municipality_id,L,0.007313563128120011,0.007412502361631777
elastic_net,municipality_id,L,0.0073144863144051124,0.007405392969587408
proportional_swing,municipality_id,L,0.00835506604685411,0.008428735889601111
lightgbm,municipality_id,M,0.014284837734290503,0.014612162355532924
elastic_net,municipality_id,M,0.014502059970869239,0.014832656056005
ridge,municipality_id,M,0.014522528309518369,0.0148528431851358
catboost,municipality_id,M,0.014545532023469643,0.01490611571536187
proportional_swing,municipality_id,M,0.01931022898290317,0.019533366357466463
lightgbm,municipality_id,MP,0.008131607290343956,0.008497856352144508
catboost,municipality_id,MP,0.008272069257607557,0.008621641730995748
ridge,municipality_id,MP,0.008529760241321627,0.008890838634035912
elastic_net,municipality_id,MP,0.008533433308285184,0.008888973501839146
proportional_swing,municipality_id,MP,0.009116450650014915,0.009439057090216314
catboost,municipality_id,OTHER,0.006026910549465892,0.0067386088428542466
ridge,municipality_id,OTHER,0.006639449121827422,0.007349673597529609
elastic_net,municipality_id,OTHER,0.006775539911075235,0.007482554043832152
proportional_swing,municipality_id,OTHER,0.007372434611320822,0.008557848975763754
lightgbm,municipality_id,OTHER,0.007784442433510565,0.008409867743532229
lightgbm,municipality_id,S,0.017073581575184456,0.018036170335401357
catboost,municipality_id,S,0.017363383700675646,0.018315426530433002
elastic_net,municipality_id,S,0.01791865060109558,0.018844951014438498
ridge,municipality_id,S,0.01792920435665605,0.0188545873948398
proportional_swing,municipality_id,S,0.032124659196994566,0.03385346995786475
lightgbm,municipality_id,SD,0.01496483406654443,0.015583056531969593
catboost,municipality_id,SD,0.01512904690899386,0.015767167469271155
elastic_net,municipality_id,SD,0.01575969403618232,0.016489044221861034
ridge,municipality_id,SD,0.01577941551734762,0.01650460700602602
proportional_swing,municipality_id,SD,0.018627705812195687,0.019295224493035792
lightgbm,municipality_id,V,0.009577629292920305,0.010354132748813043
catboost,municipality_id,V,0.009869536865477315,0.010645538055515404
elastic_net,municipality_id,V,0.011626715401134744,0.012504843794111648
ridge,municipality_id,V,0.011661330003671781,0.012537467156701447
proportional_swing,municipality_id,V,0.013029969861245504,0.014538704573174816
