municipality_id,weighted_mae,unweighted_mae,party_observation_weight,observations
2421,0.018445169226460178,0.019605216533783124,30087,45
0191,0.013705349909439049,0.014115068955820563,21132,18
1730,0.016753327174624147,0.016721483469689068,35523,45
1961,0.012513997728921113,0.01270395071705287,86661,90
2510,0.024932070111158836,0.024390471457381525,25731,36
2085,0.013163935410623825,0.013764730021816546,96696,99
1273,0.011183484785545532,0.011084965628811868,51192,54
2506,0.014398899084502353,0.014398899084502351,14976,9
0617,0.0154161285440933,0.014937993426287481,48879,54
1262,0.017509977511341767,0.01749800288788717,110169,81
1760,0.022480321327071492,0.02344554140686761,21798,27
2101,0.009305509800682444,0.009517752401821065,32292,27
0183,0.01765380394277946,0.018036814975035776,226530,234
2582,0.012920743319000073,0.013953408603280272,45108,54
1488,0.014740245693130384,0.01603989149784633,277947,270
1762,0.029571738351403396,0.03160229680996121,19197,27
2080,0.01229818136199184,0.012503672080475623,296244,288
0560,0.0152319991270593,0.01555926971173128,32787,27
1904,0.01596574822040279,0.015903862497165643,21249,18
1080,0.010839024059870889,0.011286086489492562,310941,288
0188,0.012492823364453782,0.012776916839221303,361116,360
2161,0.01821976942440948,0.019131116127902362,105885,117
1496,0.011128305802756215,0.011328673017391728,272196,234
2584,0.015512180950469143,0.015236326889078137,119421,117
1497,0.011128605586422141,0.012030655998052907,54864,54
2281,0.01618660332386238,0.016718033396588866,91881,90
2581,0.013401031789048497,0.013822751398303459,209376,198
1984,0.010045394331962028,0.010344182360122595,79461,72
1882,0.011789620873908837,0.012354466304227197,66555,72
0330,0.013706020754829141,0.0139301678332888,102213,108
0861,0.01274840985253446,0.012621402148355646,77013,81
0680,0.012408987547669111,0.01285619063969462,384660,351
2514,0.01603849329842111,0.016364453580189953,91557,90
1382,0.011777106263120063,0.011964568385849873,180666,171
2518,0.018843657584470815,0.020019925619613802,18855,36
2262,0.01610673251778225,0.015897160732460003,103491,99
2580,0.013582852111744769,0.013861412511876581,164493,162
1285,0.011547996357827096,0.01192738872877766,178542,171
2425,0.028232822431177175,0.028769822657172914,12222,18
2034,0.01652935531891746,0.0171575008543172,38655,45
1715,0.013215569955520319,0.01488194942406779,70965,72
0885,0.012947532996171863,0.013800930631318051,65799,81
2132,0.016469393621958442,0.01638399287384346,52947,45
1785,0.012057397679901863,0.012227032469533236,84537,81
0428,0.013468090208726965,0.013468090208726963,7668,9
0128,0.011824531078672257,0.011599662035067326,56205,54
2409,0.016891788089461554,0.018369512924785465,37350,36
1286,0.010835980837785582,0.011034510636179364,189414,171
0761,0.013733633535999839,0.01507390725292418,42957,54
1982,0.015560228747432786,0.015435706494715831,65070,63
0480,0.01217365689370286,0.012233139059391074,113301,126
1784,0.014214907520528692,0.014085381561480466,144792,144
2305,0.020213075538729666,0.02028108204947536,33129,27
0665,0.010610150613515909,0.010620715455936595,78849,72
2380,0.0142361470230018,0.014467818930390666,286407,270
1463,0.013183137061923042,0.013111444021934064,160110,144
0180,0.020154605421697964,0.02117354998431266,3535821,3591
0509,0.016722801155635243,0.016290356794087184,28818,36
0319,0.015423461515293195,0.015937467355144248,50616,54
1484,0.011086783896085865,0.011805225877568526,67941,72
0862,0.013009497314168492,0.013453348053085703,50031,54
1266,0.009062148667953676,0.009672245022369113,87588,72
2180,0.011892412719904235,0.01202331874560695,574821,468
0581,0.012488172560628584,0.012696238568656275,97083,81
2084,0.010275652261615477,0.01057872568488628,93357,81
0120,0.015019973240562588,0.015016294448939838,199305,180
1495,0.007263020823051163,0.007255599115546518,23085,18
0481,0.01315700768016469,0.01341584858696597,65646,63
0604,0.008367379213187873,0.00837833357947544,36765,27
1471,0.009396730398842994,0.009678368329187396,78786,63
1499,0.010311874597107704,0.010435043583507239,161793,144
1764,0.01600717845618779,0.01633064421117551,49437,72
2404,0.013098843307629227,0.013896414003592114,22059,27
0126,0.01885332701245729,0.019693198717017878,407169,459
0763,0.012937516706607179,0.01277671835401965,65835,63
2560,0.019871278230513142,0.019879894194650114,35541,27
1737,0.0223455242929937,0.024654783267278563,61587,81
1060,0.018494205411939437,0.018494205411939434,10467,9
0192,0.013283396384834223,0.013889817007621508,144450,153
0184,0.0163070582007818,0.016262883231648362,217323,216
1862,0.01904588712149644,0.018926347625819805,55332,63
2361,0.020441012112192042,0.020553832358733818,56079,45
0136,0.01421964557199107,0.01505833477755091,403362,405
0580,0.012616821214673871,0.013324032991091028,840429,837
