wave_id,region_id,party,estimate,margin_error,row_base,cell_status,election_cycle
scb_2022M05_regional_original,SE07+SE08,KD,0.049000000000,0.023000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE07+SE08,L,0.020000000000,0.014000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE07+SE08,M,0.153000000000,0.039000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE07+SE08,MP,0.038000000000,0.024000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE07+SE08,OTHER,,,,SUPPRESSED,2022
scb_2022M05_regional_original,SE07+SE08,S,0.400000000000,0.052000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE07+SE08,SD,0.167000000000,0.046000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE07+SE08,V,0.080000000000,0.028000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE09,C,0.081000000000,0.028000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE09,KD,0.080000000000,0.028000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE09,L,0.034000000000,0.018000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE09,M,0.170000000000,0.040000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE09,MP,0.019000000000,0.012000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE09,OTHER,,,,SUPPRESSED,2022
scb_2022M05_regional_original,SE09,S,0.336000000000,0.053000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE09,SD,0.222000000000,0.046000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE09,V,0.038000000000,0.019000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE0A,C,0.066000000000,0.017000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE0A,KD,0.065000000000,0.017000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE0A,L,0.040000000000,0.015000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE0A,M,0.219000000000,0.028000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE0A,MP,0.035000000000,0.013000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE0A,OTHER,0.025000000000,0.011000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE0A,S,0.300000000000,0.031000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE0A,SD,0.157000000000,0.027000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE0A,V,0.094000000000,0.020000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE12,C,0.058000000000,0.017000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE12,KD,0.051000000000,0.016000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE12,L,0.029000000000,0.013000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE12,M,0.226000000000,0.033000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE12,MP,0.039000000000,0.015000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE12,OTHER,0.018000000000,0.012000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE12,S,0.320000000000,0.036000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE12,SD,0.182000000000,0.033000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE12,V,0.077000000000,0.020000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE2,C,0.060000000000,0.022000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE2,KD,0.032000000000,0.014000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE2,L,0.032000000000,0.013000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE2,M,0.228000000000,0.036000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE2,MP,0.026000000000,0.013000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE2,OTHER,0.023000000000,0.014000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE2,S,0.329000000000,0.041000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE2,SD,0.196000000000,0.035000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE2,V,0.075000000000,0.023000000000,,PUBLISHED,2022
scb_2022M05_regional_original,Z01,C,0.067000000000,0.007000000000,,PUBLISHED,2022
scb_2022M05_regional_original,Z01,KD,0.052000000000,0.006000000000,,PUBLISHED,2022
scb_2022M05_regional_original,Z01,L,0.034000000000,0.005000000000,,PUBLISHED,2022
scb_2022M05_regional_original,Z01,M,0.213000000000,0.011000000000,,PUBLISHED,2022
scb_2022M05_regional_original,Z01,MP,0.033000000000,0.005000000000,,PUBLISHED,2022
scb_2022M05_regional_original,Z01,OTHER,0.020000000000,0.005000000000,,PUBLISHED,2022
scb_2022M05_regional_original,Z01,S,0.333000000000,0.013000000000,,PUBLISHED,2022
scb_2022M05_regional_original,Z01,SD,0.170000000000,0.010000000000,,PUBLISHED,2022
scb_2022M05_regional_original,Z01,V,0.078000000000,0.007000000000,,PUBLISHED,2022
