election_year,checkpoint,checkpoint_at,reported_districts,reported_district_share,reported_valid_votes,reported_valid_vote_share,matched_reported_districts,model,mae,max_party_error,largest_party_correct
2022,21:30,2022-09-11T21:30:00.000000,790,0.12611749680715198,578654,0.09292319264314834,541,B0_raw_reported_share,0.0062079706565851146,0.020228043490120307,true
2022,21:30,2022-09-11T21:30:00.000000,790,0.12611749680715198,578654,0.09292319264314834,541,B1_previous_national,0.012781776411671185,0.030021704650847858,true
2022,21:30,2022-09-11T21:30:00.000000,790,0.12611749680715198,578654,0.09292319264314834,541,C1_reported_additive_change,0.004644780978191542,0.01662720408718732,true
2022,21:30,2022-09-11T21:30:00.000000,790,0.12611749680715198,578654,0.09292319264314834,541,C2_reported_proportional_change,0.004061139234787712,0.01632097171148733,true
2022,21:45,2022-09-11T21:45:00.000000,1518,0.24233716475095785,1218733,0.19571032316299913,997,B0_raw_reported_share,0.004096353758779871,0.014426899547267252,true
2022,21:45,2022-09-11T21:45:00.000000,1518,0.24233716475095785,1218733,0.19571032316299913,997,B1_previous_national,0.012781776411671185,0.030021704650847858,true
2022,21:45,2022-09-11T21:45:00.000000,1518,0.24233716475095785,1218733,0.19571032316299913,997,C1_reported_additive_change,0.0031278773531282725,0.010750606753519076,true
2022,21:45,2022-09-11T21:45:00.000000,1518,0.24233716475095785,1218733,0.19571032316299913,997,C2_reported_proportional_change,0.002775575715707975,0.01072686974581627,true
2022,22:00,2022-09-11T22:00:00.000000,1535,0.24505108556832694,1235840,0.1984574519421078,1008,B0_raw_reported_share,0.003985510849892825,0.013971334477956732,true
2022,22:00,2022-09-11T22:00:00.000000,1535,0.24505108556832694,1235840,0.1984574519421078,1008,B1_previous_national,0.012781776411671185,0.030021704650847858,true
2022,22:00,2022-09-11T22:00:00.000000,1535,0.24505108556832694,1235840,0.1984574519421078,1008,C1_reported_additive_change,0.0030744805629610112,0.010500326125159554,true
2022,22:00,2022-09-11T22:00:00.000000,1535,0.24505108556832694,1235840,0.1984574519421078,1008,C2_reported_proportional_change,0.002726146510775674,0.010522292037540626,true
2022,22:15,2022-09-11T22:15:00.000000,1673,0.26708173690932313,1366944,0.21951079685683633,1096,B0_raw_reported_share,0.0038156053797209783,0.01277224594756557,true
2022,22:15,2022-09-11T22:15:00.000000,1673,0.26708173690932313,1366944,0.21951079685683633,1096,B1_previous_national,0.012781776411671185,0.030021704650847858,true
2022,22:15,2022-09-11T22:15:00.000000,1673,0.26708173690932313,1366944,0.21951079685683633,1096,C1_reported_additive_change,0.0026473685010922022,0.009084001896233374,true
2022,22:15,2022-09-11T22:15:00.000000,1673,0.26708173690932313,1366944,0.21951079685683633,1096,C2_reported_proportional_change,0.0023325268009554046,0.009081222317599558,true
2022,22:30,2022-09-11T22:30:00.000000,2663,0.4251277139208174,2365973,0.37993993797241116,1745,B0_raw_reported_share,0.0019921583628908436,0.00754844462346585,true
2022,22:30,2022-09-11T22:30:00.000000,2663,0.4251277139208174,2365973,0.37993993797241116,1745,B1_previous_national,0.012781776411671185,0.030021704650847858,true
2022,22:30,2022-09-11T22:30:00.000000,2663,0.4251277139208174,2365973,0.37993993797241116,1745,C1_reported_additive_change,0.0015482285882856253,0.00524407514899633,true
2022,22:30,2022-09-11T22:30:00.000000,2663,0.4251277139208174,2365973,0.37993993797241116,1745,C2_reported_proportional_change,0.0013981562324050863,0.005298342738160711,true
2022,23:00,2022-09-11T23:00:00.000000,4370,0.6976372924648787,4161280,0.6682394368345856,2877,B0_raw_reported_share,0.0005089311730492891,0.0014766296508477994,true
2022,23:00,2022-09-11T23:00:00.000000,4370,0.6976372924648787,4161280,0.6682394368345856,2877,B1_previous_national,0.012781776411671185,0.030021704650847858,true
2022,23:00,2022-09-11T23:00:00.000000,4370,0.6976372924648787,4161280,0.6682394368345856,2877,C1_reported_additive_change,0.001004061348854891,0.0025221873502608294,true
