wave_id,matrix_stage,previous_party,current_party,probability,election_cycle
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,C,MP,0.005992309110,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,C,OTHER,0.013098692443,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,C,S,0.046847355977,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,C,SD,0.057578825164,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,C,V,0.011491848995,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,KD,C,0.144119985797,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,KD,KD,0.488550251768,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,KD,L,0.029040914995,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,KD,M,0.175874183353,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,KD,MP,0.019138683944,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,KD,OTHER,0.016118151831,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,KD,S,0.016640876824,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,KD,SD,0.110516951486,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,KD,V,0.000000000001,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,L,C,0.108950684522,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,L,KD,0.028333970329,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,L,L,0.516554674049,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,L,M,0.218788919289,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,L,MP,0.011331454381,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,L,OTHER,0.032084819550,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,L,S,0.057807028763,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,L,SD,0.026148449116,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,L,V,0.000000000001,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,M,C,0.065359153314,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,M,KD,0.008207768852,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,M,L,0.027488926860,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,M,M,0.739773009857,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,M,MP,0.005754940245,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,M,OTHER,0.009149844386,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,M,S,0.022885326265,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,M,SD,0.116759541090,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,M,V,0.004621489131,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,MP,C,0.107393279525,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,MP,KD,0.006669307459,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,MP,L,0.033217533360,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,MP,M,0.060916204999,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,MP,MP,0.427188013166,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,MP,OTHER,0.040032508828,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,MP,S,0.205216446525,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,MP,SD,0.029762901551,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,MP,V,0.089603804588,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,OTHER,C,0.057734214642,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,OTHER,KD,0.007056997005,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,OTHER,L,0.000000000001,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,OTHER,M,0.027962804522,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,OTHER,MP,0.078978933667,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,OTHER,OTHER,0.347875902783,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,OTHER,S,0.157731391273,2018
